,title,brand,price,post link,image link,review,review amount
0,Zapatillas Jaguar Oficial Deportiva Art. #9331 35al40,JAGUAR,26.330,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=yQP1fCc%2By57imXXDjH7Csn2Ph8dL9kxxaAHWkBgYGxFfIJKkVoceBPYNeh9zXYQ5dLXNtBOdoGBPp0FLirg72qtM7kO5HtOx5DO6MgT20ZgpoD%2FLC7zFc333vP3PTA5nfd2Yx6UHjCbUu%2FVuEumCrE0iwFQE16WJw8sYeiyMZxDOGBu905JXFKkOGQy8nUwhULhCR1k3nga5itOP5Tp0wW5kaeLosttff%2BpFf5MNptJ2bjDfDUIN4F9Xc%2BQGrlMbELtF6dYG%2Bn%2BjQgfXCDkQbU6km9nwmkHIxPmDZBcHLXr%2F1YUdnVTP80H7wSF2LoLr%2B2%2FT91cSN2PoYtx4Tno7fdlnacnVQJ%2BFpPqZA0F56uqd%2FAEjZ3fRWrRfgEOqLD%2Fzhomjd4SfrM35mzDo3qvDPcvps1spWPGX2T7BoECDRXUf%2ByQ9G9NRnOxuJb%2Bh4oL94qxYHwXLCJ%2B7OVXRxfYSotnkGUwzMMfLZGgbGQFeXvtaOm3GaMIpf%2FQX7vYoFtU8dLoVI8VQ2mkYJ%2FmMKyY1UE24b4jtn6%2F%2F5uF4s1rz76RXFJ1dDEeObfbcyzpExHv96vpuZj1sYCkCZepBfWAB3vUrHUp3BMe7dDa3AVdn9lMHCOskNzfxPOlY4XGYlQbVnXaCOqlGUQGdoM%2FBDKNst%2B8WXbRN1DPBM%2BeI746%2BuolgIn7w%2ByhrvI2vwQtv1fKa3X6lFEu%2FFHddVtNB&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,https://http2.mlstatic.com/D_NQ_NP_737997-MLA72265967556_102023-W.jpg,4.8,(406)
1,Zapatilla Blanca Simil Cuero Fackie-x Hombre Atomik,ATOMIK,30.200,https://articulo.mercadolibre.com.ar/MLA-1395754647-zapatilla-blanca-simil-cuero-fackie-x-hombre-atomik-_JM#position=7&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_905069-MLA72856502611_112023-W.jpg,0.0,-
2,Zapatillas Atomik Moda Bandolv22 Hombre Go Tienda Oficial,ATOMIK,19.999,https://articulo.mercadolibre.com.ar/MLA-1558128690-zapatillas-atomik-moda-bandolv22-hombre-go-tienda-oficial-_JM#position=8&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_815157-MLA72741809895_112023-W.jpg,4.5,(6)
3,Zapatillas Jaguar Oficial Deportiva Art. # 918 Urbana Hombre,JAGUAR,10.535,https://articulo.mercadolibre.com.ar/MLA-1201055372-zapatillas-jaguar-oficial-deportiva-art-918-urbana-hombre-_JM#position=9&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_858721-MLA72265592624_102023-W.jpg,4.3,(1218)
4,Zapatilla Verde Y Blanca Stance-x Mujer Atomik,ATOMIK,28.900,https://articulo.mercadolibre.com.ar/MLA-1395793303-zapatilla-verde-y-blanca-stance-x-mujer-atomik-_JM#position=13&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_750516-MLA72856503139_112023-W.jpg,5.0,(1)
5,Zapatillas Atomik Training Monacov22 Mujer Fu Am,ATOMIK,19.999,https://articulo.mercadolibre.com.ar/MLA-1558257216-zapatillas-atomik-training-monacov22-mujer-fu-am-_JM#position=14&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_972625-MLA72741800209_112023-W.jpg,4.9,(14)
6,Zapatillas Hombre Deportiva Comodas Livianas Basto Art 22,,16.490,https://articulo.mercadolibre.com.ar/MLA-928571013-zapatillas-hombre-deportiva-comodas-livianas-basto-art-22-_JM#position=15&search_layout=grid&type=item&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_805404-MLA69741984622_062023-W.jpg,4.4,(1187)
7,Topper Strong Pace III Hombre Adultos,TOPPER,30.490,https://www.mercadolibre.com.ar/zapatillas-para-hombre-topper-strong-pace-iii-color-azul-morogris-micro-adulto-46-ar/p/MLA18696505?pdp_filters=category:MLA109027#searchVariation=MLA18696505&position=2&search_layout=grid&type=product&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_696393-MLA48322181962_112021-W.jpg,4.6,(2162)
8,Jaguar 709 Mujer Adultos,JAGUAR,11.481,https://www.mercadolibre.com.ar/zapatillas-para-mujer-jaguar-709-color-negrocaramelo-adulto-38-ar/p/MLA25917826?pdp_filters=category:MLA109027#searchVariation=MLA25917826&position=3&search_layout=grid&type=product&tracking_id=7602c3b3-4bd5-4789-84b4-f2db5952ee95,https://http2.mlstatic.com/D_NQ_NP_848902-MLA70867340207_082023-W.jpg,4.8,(5)
9,Zapatillas Puma X-ray Speed Open Road Blancas Para Hombre,PUMA,69.999,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ShRRz607DZUjMyc%2BLGXb%2FsQ3zkPYHH4eIraq35s86NF8wyj4WAsux1G%2BPn%2FsFSeujNDwJnZQOF983Vy3RVs5Xo7njpXjCvKEj3ZSVLiwu4VippV6PGCmXP2iBKbJ%2B7K%2Bg%2BhryAY9Cn%2BsmXVp481dtLkb9z1uarnvBD9PZpBNcvNhK8HjTq2WIxlGBdc9cf7r%2BL9sVXUAH5oJ9vpBoGkw4l0KogVzLGtarMD%2BpQ9ZQV%2F5QmFZRESEK7E2SxtJWacDTNhS3abN9wdIKaZKEG8j68xw37cbMic0%2FmMbZzJVgKrq6V27rsWKXvo6reviTGmo7gxIA%2F9Wq%2FA4QTqnE7Irq2t1FXXMdxeL2hp7vjqS9d3TIbdAzD3pr5wxIcFQ9gBFLUJZKSe52PhKNAOczKEBl7vDZjyPDXa1Hd93Y7Jewc7wC61AADpqIXe1Gu1Wl1FqPgmYXLCrAGLCuF2v6fBsgmlQg6cchLDlu8LMqN0f1TVqZ95VkKjz9lRFqsp7pDQDeHVM9QZ1Zju81HYLu0GsXNYtGV6CBxhsvSGQ1J979RltZ6OsrkYcMV5ZCAj%2BkOu9I%2Fk%2BiNleYKwdryyEGmi5dgDJFZW0uOIqFno9tNyTCNcPETazJy1Ox8SyimnFSsPQ2WAhbQqtjSkLel0kuUP7PeEOeCb%2FOv5gqYcS85YqTxUbDCtzkvrsvntwZevmG5GQ4lR0AnHZ3Gq%2FAOXdv2s1a0OCdg%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026&rb=x,https://http2.mlstatic.com/D_NQ_NP_929550-MLA69888606015_062023-W.jpg,4.8,(210)
