;title;price;post link;image link;review;review amount
0; Zapatillas Rave Urbanas 35 A 45 Livianas De Vestir #806;8.738;https://articulo.mercadolibre.com.ar/MLA-1391155647-zapatillas-rave-urbanas-35-a-45-livianas-de-vestir-806-_JM#position=1&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_899654-MLA70862091276_082023-W.jpg;4.7;(26)
1;Zapatilla Topper Costa Ii Kids Rosa Peach;18.250;https://articulo.mercadolibre.com.ar/MLA-1390308519-zapatilla-topper-costa-ii-kids-rosa-peach-_JM#position=2&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_640186-MLA71827202166_092023-W.jpg;4.6;(7)
2;Atomik Zapatillas - Street Men Negro;29.399;https://articulo.mercadolibre.com.ar/MLA-1530335312-atomik-zapatillas-street-men-negro-_JM#position=3&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_633038-MLA72063656132_102023-W.jpg;-;-
3;Zapatillas Jaguar Oficial Deportiva Art. #9329 36al41 Mujer;24.655;https://articulo.mercadolibre.com.ar/MLA-1530302224-zapatillas-jaguar-oficial-deportiva-art-9329-36al41-mujer-_JM#position=4&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_913126-MLA72329572269_102023-W.jpg;5.0;(6)
4;Zapatillas Jaguar Oficial Deportiva Art. #9317 35 Al 40;21.880;https://articulo.mercadolibre.com.ar/MLA-1282862978-zapatillas-jaguar-oficial-deportiva-art-9317-35-al-40-_JM#position=5&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_672136-MLA72329523389_102023-W.jpg;4.8;(797)
5;Zapatilla Topper Dakota Marron / Negro/ Beige;36.000;https://articulo.mercadolibre.com.ar/MLA-1390308525-zapatilla-topper-dakota-marron-negro-beige-_JM#position=6&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_630743-MLA71827206532_092023-W.jpg;4.7;(10)
6;Deportiva Urbana Con Abrojos;13.990;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=MF7meCILk8CUmnXzCuH9b7E0%2BRL0tolFBbUhc%2FIWGyyNtnNXoG24UAmNTszXWumk5N2d%2B1w%2Bvbv2E%2FJIs5EbfmSABqIYn28jCoFGZU%2FWemUgMx4ZNSHU8j1UQhdSWLWcsnpmWOxPA88FZxWR67Jhkf%2BYe2kJNUFjRZc4oTUUe8c9yMqgHON903z%2Breafuw1QvLbR1DQKN1ujX7vAImnoeV0u1B9LmjsOmAs1Z5nCGD2nyVlkAZb6Pb5MeAiftkGvSnwz3q2LapyLByJRe3otz6CPnDPwVeimXy7fmow77rImz2oE7YXPmt6XrgZflDgZZ6be9C6M6nhQIafR64EcORTzkt9uBtvhX%2BqH8W0d1FBFKonHTUDnWF4dFpolCVf3FBK4xOyoYa2B1wVtvEIAQLrEImuSLdIH3JT2vDWJuN44xrGXZmzcLa8goXohF3d5g5nPcRW%2BgymEztpQiG8d2jEP%2BDgIh79hi51QCLsd4N4MOIA9eEdwJwiwrnOLMOBsvvRL%2FupIUlFxiL7645h2cfaCiNf8A7ts95UNTcoJdkJdTkhQxX4ZJRgFZZ7hse6hd8w3Wh8I2JGc2p%2FFimoNgRwAlQ22rwuwCErunxRT0%2FXyxmMolmSDbvHDSo1Ort7aVPKwjRv3Ceq3Sp0hKvWGHT69vkH0krv9%2BSKikl5fqUZpXp3gqA%3D%3D&e=mclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x;https://http2.mlstatic.com/D_NQ_NP_918024-MLA52163488193_102022-W.jpg;4.2;(608)
7;Zapatilla Derby Acordonada Con Puntera;5.770;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=eXeXuLhHp3Q%2FkiSgQ9V8i82k7266QdGCbquYNK0UQltxsr9q44kR9VD342Hzh0Mo03cL4ocxWcrB7dQXKxrYjJF%2F%2Bm41Ht2dw9eQZKBuiMz4DH2PeOc%2BpMSQxaVGI8mKAULbtaqIb%2FZV3G8W%2BHtBzjz0CXFmwaJrwlbWiWHtZE2PtL5hZUZtbVxDxA%2BoAbaSeAqHV75P4JXh4HNZofLnYpXBpACC60PT7io8o5RW3krxsc0wJjD5Cr0rR2T3iLZYhI5%2BNYCC%2BiX%2BdsMkS4hkOwHi%2B%2BWW%2F3bKtXwxNz2%2BHFlXbmbp5pI1eYbMJ5SpiMJklR1Rp0YTuchFa%2FpF8XlkL%2FIki%2Bjxi70skvdcdvJHDlE%2FPOEMY77C4gfkCl6d9SbMfNWErSvg6iffJRWbf7RdO5A7KTBvCUGULxllRBfhN8ezkCfWcHOq1lSyEY0ptlHu%2BBhAkUHNr4E2jKvIZTbhvoZpfY%2BoqL216DyUYUvO34Xoy3LpLjE5EqL2Smf%2Fulyu1JFm2q%2BLCTb3YZHLp0ZFfx6q9N0CTr9qTBwkx0xzsjIWBKw%2FgY1w2fMxAhPamwW7SxJGVfosx7ugBNKkcCsCNHBBs3Te7q7wMJ4trCKrbnoznOn0hncV3nLRW9NVn1CHae7z8xItSwGgIBYomp%2B%2Bad0wVhzvyHFJMAfa0alDhS52TmWyHqTp96w3lAgaANI%3D&e=mclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x;https://http2.mlstatic.com/D_NQ_NP_813290-MLA69947677730_062023-W.jpg;4.7;(55)
8;Zapatillas Mujer Hombre Unisex Jaguar Lona Botitas Con Punte;10.710;https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=4nvgNbBRaNhSCSAWmzCxL7f%2B4mOpyVfh9pTAYIBlVnS2614MgT7GH7oTfzX99koVmAzbpYXoVVpX6AQQD7%2BHFI1qtbfLqMLP78TQkqfpY9MwoNKrQWgq%2FkNwGifbYtcuOlYMgDpvJKsH8d9%2F3nLVjzmzYjQ%2FcbEqqpCzjU8NBdwIbb0AJZR2YVnGg2lbOHGgxrBR0D6m%2F2L4WKk2nyRYUNf9WamaS18dtKUBQeaI1Jt41YveMYt%2FWgGJwQvaWxARYSvN1S3RgK8hga%2Bc5b6gXX8qk0e2OWr4Qp%2FSihwq297xOychF3D6AAHiLh0rVekE6vaU5G39dzKpdt5UwQOqF1f7LAvdn%2BAA%2FqTYIOdm%2FRXMjle0pTKcuXPETeRfNMMHlnq19IXwzQvFQwd3ZeBSZHERANySKP8x8b09R%2Bs9JfbFBrBc9JCnKuikDRUUDWRQfkAruvREDRRwIK03tNfpLHSq5uV7dhqGuuSipQKjTgrq9mB8kapwAhW4yZWHVnetWquXm%2BYCUr1dcxbuE4lQkPmEjZFX5e6CUFm1r5Ds%2BqZrGg6mmfIHQvE8tshX5F4yHnP40BCF%2BSjeDtEyQZ9sK%2FQB5NqLwZ9jTIxN2Jjm7EpKZQHtrTvW5TkJeGMLS4Tz%2FT84hkuIipgs8sG2gYO7SMD9pd4j2nNgvR27uBIlynFRax9g2LsEuRLHqnkOxOiegdkhwdEjb8TmoJ6e8rgeEIuaSlXIQu1t&e=mclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x;https://http2.mlstatic.com/D_NQ_NP_659750-MLA71371073920_082023-W.jpg;4.7;(461)
9;Zapatilla Topper Temple Negro/ Gris Stormy;37.800;https://articulo.mercadolibre.com.ar/MLA-1525997484-zapatilla-topper-temple-negro-gris-stormy-_JM#position=10&search_layout=grid&type=item&tracking_id=c48c761f-1e0d-47dc-930c-9cdf3cb94323;https://http2.mlstatic.com/D_NQ_NP_731217-MLA71548042475_092023-W.jpg;4.9;(14)
